epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
28,77.2568,0.40659,0.94366,0.94366,1.24603,0.000416172,0.000416172,0.000416172
29,79.4895,0.33762,0.94366,0.94366,1.13928,0.000408438,0.000408438,0.000408438
30,82.1641,0.29305,0.94366,0.94366,0.32672,0.000400703,0.000400703,0.000400703
31,83.9838,0.30646,0.94366,0.94366,0.38325,0.000392969,0.000392969,0.000392969
32,85.8035,0.20724,0.94366,0.94366,2.33511,0.000385234,0.000385234,0.000385234
33,88.4242,0.15962,0.94366,0.94366,0.54384,0.0003775,0.0003775,0.0003775
34,91.0881,0.1767,0.94366,0.94366,0.52784,0.000369766,0.000369766,0.000369766
35,92.9554,0.37618,0.94366,0.94366,1.38841,0.000362031,0.000362031,0.000362031
36,94.6158,0.11688,0.94366,0.94366,1.34829,0.000354297,0.000354297,0.000354297
37,97.0366,0.23003,0.94366,0.94366,0.43525,0.000346563,0.000346563,0.000346563
38,99.9766,0.14153,0.94366,0.94366,1.44829,0.000338828,0.000338828,0.000338828
39,102.291,0.18021,0.94366,0.94366,0.4284,0.000331094,0.000331094,0.000331094
40,104.539,0.48407,0.94366,0.94366,1.11762,0.000323359,0.000323359,0.000323359
41,106.287,0.27993,0.94366,0.94366,0.42763,0.000315625,0.000315625,0.000315625
42,108.689,0.27835,0.94366,0.94366,1.18878,0.000307891,0.000307891,0.000307891
43,110.536,0.13581,0.94366,0.94366,1.23184,0.000300156,0.000300156,0.000300156
44,112.632,0.37088,0.94366,0.94366,0.40831,0.000292422,0.000292422,0.000292422
45,114.837,0.28808,0.91549,0.94366,0.92706,0.000284688,0.000284688,0.000284688
46,118.065,0.17737,0.94366,0.94366,0.31702,0.000276953,0.000276953,0.000276953
47,119.962,0.17326,0.94366,0.94366,0.91045,0.000269219,0.000269219,0.000269219
48,121.676,0.20534,0.94366,0.94366,0.34206,0.000261484,0.000261484,0.000261484
49,123.702,0.12584,0.94366,0.94366,1.05943,0.00025375,0.00025375,0.00025375
50,126.821,0.13205,0.94366,0.94366,0.38713,0.000246016,0.000246016,0.000246016
51,128.76,0.11455,0.94366,0.94366,0.39607,0.000238281,0.000238281,0.000238281
52,130.624,0.15497,0.94366,0.94366,1.38941,0.000230547,0.000230547,0.000230547
53,132.611,0.22186,0.94366,0.94366,0.42069,0.000222813,0.000222813,0.000222813
54,135.437,0.15917,0.94366,0.94366,0.42585,0.000215078,0.000215078,0.000215078
55,137.321,0.15078,0.94366,0.94366,1.30021,0.000207344,0.000207344,0.000207344
56,139.496,0.17422,0.94366,0.94366,0.4347,0.000199609,0.000199609,0.000199609
57,141.521,0.08533,0.94366,0.94366,0.42924,0.000191875,0.000191875,0.000191875
58,144.62,0.07583,0.94366,0.94366,0.45704,0.000184141,0.000184141,0.000184141
59,146.438,0.1313,0.94366,0.94366,0.43032,0.000176406,0.000176406,0.000176406
60,148.354,0.1001,0.94366,0.94366,0.4319,0.000168672,0.000168672,0.000168672
61,150.301,0.11027,0.94366,0.94366,1.35846,0.000160938,0.000160938,0.000160938
62,153.691,0.09564,0.94366,0.94366,2.1757,0.000153203,0.000153203,0.000153203
63,155.527,0.06937,0.94366,0.94366,0.43073,0.000145469,0.000145469,0.000145469
64,157.486,0.06437,0.94366,0.94366,2.46102,0.000137734,0.000137734,0.000137734
65,159.442,0.10066,0.94366,0.94366,0.45534,0.00013,0.00013,0.00013
66,162.433,0.07668,0.94366,0.94366,1.45691,0.000122266,0.000122266,0.000122266
67,164.172,0.17761,0.94366,0.94366,0.47175,0.000114531,0.000114531,0.000114531
68,165.908,0.07329,0.94366,0.94366,0.43093,0.000106797,0.000106797,0.000106797
69,167.91,0.08548,0.94366,0.94366,0.43079,9.90625e-05,9.90625e-05,9.90625e-05
70,171.3,0.06456,0.94366,0.94366,0.43156,9.13281e-05,9.13281e-05,9.13281e-05
